,sensor_packet,runtime_hours,lubrication_index,machine_health_index,operation_mode,plant_section,product_family,production_stage,fault_severity,certification_level,output_quality
2235,T:21.14 V:8.48 H:65.2,5.820714497418858,4.118015930174346,2.3925529061965194,semi_auto,East,Fam_06,Assembly,No Fault,ISO9001,High
2236,T:21.24 V:9.10 H:61.6,8.566999688353297,3.3901600304207147,1.8963717502421549,semi_auto,East,Fam_27,Assembly,Low,ISO9001,High
2237,T:23.66 V:8.28 H:37.0,5.995414981855159,2.08959108139586,,auto,East,Fam_28,Assembly,No Fault,ISO9001,Medium
2238,T:23.22 V:7.60 H:55.1,5.357532981201215,4.124964270819386,2.398495007048811,semi_auto,South,Fam_37,Processing,No Fault,ISO9001,High
2239,T:24.30 V:9.03 H:51.0,3.2518440955636407,,2.55454006477137,auto,South,Fam_16,Assembly,No Fault,ISO9001,High
2240,T:22.77 V:5.17 H:36.3,6.977314354103214,1.9949102039492184,0.9276355892942904,semi_auto,East,Fam_06,Assembly,No Fault,ISO9001,Low
2241,T:26.46 V:10.03 H:45.5,,5.988663976030167,3.4367003403791694,manual,North,Fam_04,Processing,No Fault,ISO9001,High
2242,T:25.76 V:11.72 H:58.5,2.7540792428912657,2.8084123057146604,2.100704530291095,auto,North,Fam_28,Processing,No Fault,ISO9001,Medium
2243,T:26.53 V:8.90 H:54.6,5.887416116567387,5.545701139140948,3.121263563413384,auto,South,Fam_32,Assembly,No Fault,ISO9001,Medium
2244,T:24.76 V:9.42 H:64.9,4.731817042783785,2.600833751067918,1.7813860509052888,semi_auto,South,Fam_01,Processing,No Fault,ISO9001,High
2245,T:17.68 V:11.89 H:56.2,1.1807719632199327,5.381329725814136,3.3410030418590586,auto,North,Fam_14,Processing,Low,ISO9001,Medium
2246,T:20.09 V:13.00 H:51.4,2.422013445981761,2.8275289258798013,2.4150733631242063,semi_auto,North,Fam_05,Init,No Fault,ISO9001,Low
2247,T:24.65 V:9.41 H:57.8,6.125658326694109,3.859262630884439,2.377379857441668,manual,North,Fam_08,Assembly,Low,ISO9001,High
2248,T:29.27 V:9.18 H:56.3,1.85672156998898,2.956044269623379,1.7379913769703204,semi_auto,East,Fam_29,Processing,No Fault,ISO9001,Low
2249,T:21.96 V:5.15 H:44.3,7.704132155237789,2.8820032379311797,1.5688127498548678,semi_auto,North,Fam_06,Assembly,No Fault,ISO9001,Medium
2250,T:23.03 V:3.51 H:40.9,8.229298089542642,9.412918119023324,,manual,North,Fam_10,Assembly,No Fault,ISO9001,High
2251,T:19.00 V:7.82 H:59.6,4.795365075587618,5.869190467245713,2.8089929224682035,semi_auto,East,Fam_10,Final,No Fault,ISO9001,Medium
2252,T:24.19 V:7.37 H:47.7,5.114270716027287,2.7181669114613283,1.5902894391233642,auto,East,Fam_29,Processing,No Fault,ISO9001,Medium
2253,T:25.17 V:12.52 H:62.1,3.965558937647855,3.178737540725837,2.286075393002624,auto,South,Fam_39,Processing,Low,ISO9001,Medium
2254,T:22.98 V:8.61 H:56.5,2.136839860404936,3.1482159389145847,1.8796565752853036,auto,East,Fam_11,Init,,ISO9001,Low
2255,T:27.98 V:8.35 H:60.9,4.50522109355843,2.965423780872888,1.6344830550661364,auto,North,Fam_02,Assembly,No Fault,ISO9001,Medium
2256,T:19.85 V:6.88 H:48.0,2.6450663795882567,4.457553254868643,2.1969474353941867,semi_auto,East,Fam_14,Processing,No Fault,ISO9001,Medium
2257,T:15.10 V:2.40 H:47.6,6.336479273086667,2.773849115919682,0.6523946475666957,semi_auto,South,Fam_03,Processing,No Fault,ISO9001,Low
2258,T:18.86 V:9.07 H:59.5,5.853257658422873,4.9133060531969,2.743542406019413,semi_auto,North,Fam_08,Processing,,ISO9001,High
2259,,6.739790831719263,4.290530505944271,2.5974759695512084,auto,West,Fam_03,Assembly,Low,ISO9001,Medium
2260,T:30.39 V:11.25 H:36.3,1.971033184694565,3.3849757955024278,2.194616870818604,auto,East,Fam_18,Processing,Low,ISO9001,Low
2261,T:26.18 V:11.20 H:43.4,3.045014087242855,3.8036737630549937,2.6667899011890195,semi_auto,East,Fam_08,Final,No Fault,ISO9001,High
2262,T:26.50 V:11.63 H:62.5,2.535507637632564,2.935173233428232,2.367594886595685,semi_auto,East,Fam_01,Processing,No Fault,ISO9001,High
2263,T:22.29 V:6.29 H:45.3,3.210576746092059,2.7142788444799164,1.2921774748631278,semi_auto,West,Fam_06,Assembly,Medium,ISO9001,Low
2264,T:29.64 V:7.87 H:43.7,1.122774229212566,4.108900222375697,2.1304029429327094,auto,South,Fam_20,Processing,,ISO9001,Low
2265,T:20.20 V:7.07 H:60.4,4.7342208591017645,,3.268946664269578,auto,North,Fam_38,Final,No Fault,ISO9001,Medium
2266,T:19.04 V:5.94 H:36.3,1.140874992661751,3.94919183249937,1.7919786250955343,semi_auto,East,Fam_28,Assembly,No Fault,ISO9001,Low
2267,T:29.22 V:9.08 H:28.0,3.476739618820964,3.8982986605941896,2.175183648630653,semi_auto,East,Fam_10,Processing,No Fault,ISO9001,Low
2268,T:24.93 V:14.66 H:64.6,4.1965948185551945,3.840582061418873,3.2558692655646304,auto,South,Fam_01,Assembly,,ISO9001,High
2269,T:20.71 V:7.67 H:37.0,,3.50836254376434,1.6980414731575988,semi_auto,North,Fam_40,Init,No Fault,ISO9001,Medium
2270,T:22.41 V:4.93 H:36.3,1.1468759150178096,5.4480061496247965,2.093401534405956,manual,North,Fam_07,Init,,ISO9001,Medium
2271,T:28.52 V:3.96 H:60.3,,2.408682084265031,1.0038621678065915,semi_auto,South,Fam_01,Processing,No Fault,ISO9001,Low
2272,T:24.43 V:7.23 H:48.2,2.2862076579044466,6.781717041813206,3.1050037563725503,auto,West,Fam_08,Assembly,Low,ISO9001,
2273,T:23.65 V:11.12 H:49.3,4.059689760115094,3.001547989787717,2.011165179418894,auto,North,Fam_21,Assembly,No Fault,ISO9001,High
2274,T:19.11 V:9.76 H:57.9,4.164342549825925,2.440136960930536,1.9247116151426336,semi_auto,South,Fam_01,Assembly,,ISO9001,
2275,T:26.12 V:9.95 H:59.5,1.724132361297888,4.60541618667705,2.5394805886914407,auto,North,Fam_12,Init,,ISO9001,Medium
2276,T:25.35 V:5.42 H:45.8,2.327288995718628,3.192572938589476,1.5217066004148885,auto,West,Fam_02,Assembly,No Fault,ISO9001,Low
2277,T:20.86 V:8.36 H:61.0,2.9098823949726693,10.697451138105336,4.923718930311107,manual,East,Fam_26,Processing,No Fault,ISO9001,High
2278,T:25.80 V:4.46 H:75.2,5.877972350413379,3.4379855076385524,1.3115883362014278,auto,North,Fam_26,Processing,No Fault,ISO9001,Medium
2279,T:25.52 V:8.83 H:53.4,5.769945429965359,,2.7999968084084577,auto,East,Fam_12,Processing,No Fault,ISO9001,High
2280,T:17.85 V:10.41 H:70.0,5.966739280738908,,2.2428148864022,semi_auto,West,Fam_29,Assembly,No Fault,ISO9001,Medium
2281,T:14.83 V:11.00 H:73.5,6.000102595963754,3.1136262462396638,2.087357720267395,semi_auto,East,Fam_01,Init,No Fault,ISO9001,Low
2282,T:25.36 V:7.74 H:54.9,4.205121614456986,2.199998541974,1.7074538994268753,semi_auto,South,Fam_34,Assembly,No Fault,ISO9001,Low
2283,T:20.64 V:9.29 H:66.4,3.92893736442925,4.0098845607666895,,auto,East,Fam_34,Processing,Low,ISO9001,Medium
2284,T:21.25 V:6.06 H:53.8,4.335722328526806,7.063213078547201,3.0291169355665577,auto,South,Fam_01,Processing,Medium,ISO9001,High
2285,T:21.07 V:4.94 H:48.4,4.535146756495246,4.380482338591738,1.917839142424535,auto,West,Fam_11,Assembly,No Fault,ISO9001,Medium
2286,T:21.12 V:8.90 H:46.1,3.795057535483125,3.9384765911311184,,auto,South,Fam_04,Assembly,No Fault,ISO9001,High
2287,T:17.42 V:7.89 H:61.8,4.981488490871886,1.6567632447129232,0.897900908167112,auto,South,Fam_15,Assembly,No Fault,ISO9001,Low
2288,T:18.44 V:7.67 H:50.6,2.691043664012636,2.2202932233794708,1.5429572174574615,semi_auto,East,Fam_02,Init,No Fault,ISO9001,Low
2289,T:21.76 V:5.67 H:68.9,3.667153382188814,5.562441674332749,,auto,South,Fam_17,Processing,No Fault,ISO9001,Medium
2290,T:29.48 V:9.35 H:51.6,1.5164106297698132,,2.170602194186895,semi_auto,East,Fam_27,Processing,No Fault,ISO9001,Low
2291,T:22.19 V:11.89 H:58.2,2.938396643609829,7.057171343550867,4.00140844590574,auto,South,Fam_02,Init,No Fault,ISO9001,High
2292,T:21.88 V:16.41 H:35.4,6.623858360147187,6.515299360171899,,manual,East,Fam_04,Final,No Fault,ISO9001,High
2293,T:22.03 V:7.99 H:62.8,2.8223212781677804,,2.332343098114552,auto,East,Fam_20,Init,No Fault,ISO9001,High
2294,T:21.91 V:8.86 H:43.9,0.8960896335135763,6.0869871364759085,3.158142681130874,manual,South,Fam_05,Init,No Fault,ISO9001,Medium
2295,T:22.94 V:8.56 H:57.1,3.5873970970276643,5.648586634176012,2.886611046343339,manual,North,Fam_01,Assembly,,ISO9001,
2296,T:27.08 V:7.24 H:44.6,9.506966177809549,2.2985832308770013,1.3374451444181106,auto,East,Fam_11,Processing,No Fault,ISO9001,
2297,T:20.53 V:1.52 H:41.9,4.477013598608148,1.9930205208998475,0.3778521174259801,semi_auto,South,Fam_08,Init,No Fault,ISO9001,Low
2298,T:26.83 V:5.61 H:54.8,3.8467049653283705,5.723512453959476,2.453756460016497,auto,South,Fam_39,Assembly,No Fault,ISO9001,High
2299,T:21.09 V:13.55 H:52.2,6.266223804022127,8.945684081359907,5.114871290862958,manual,West,Fam_09,Final,No Fault,ISO9001,High
2300,T:22.15 V:6.09 H:53.4,4.837011600915622,2.588109628345046,1.0406626897236326,auto,South,Fam_01,Assembly,,ISO9001,Medium
2301,T:28.36 V:4.28 H:64.5,3.1118769838779694,4.590457149443898,1.9049632768810152,semi_auto,East,Fam_30,Init,No Fault,ISO9001,Low
2302,T:17.93 V:4.74 H:23.5,1.9625506139614932,5.650356304298232,2.185273293293488,auto,North,Fam_04,Final,No Fault,ISO9001,Low
2303,T:22.38 V:7.97 H:55.9,5.720335362920391,3.2203960648538,1.955192826326096,auto,East,Fam_07,Assembly,No Fault,ISO9001,High
2304,T:26.64 V:8.08 H:31.9,1.610237853833508,4.613387110587666,2.4644646476308267,manual,West,Fam_17,Final,No Fault,ISO9001,Medium
2305,T:28.84 V:6.87 H:51.1,2.29018552132559,5.270004465510857,2.186232430447708,manual,East,Fam_01,Processing,No Fault,ISO9001,Low
2306,T:29.37 V:12.23 H:59.8,2.05373181801566,5.638856924643883,3.3931476904055407,auto,South,Fam_05,Processing,,ISO9001,Medium
2307,T:26.03 V:15.41 H:47.9,4.9480475842396725,4.823981539842604,3.695690084477176,auto,South,Fam_19,Processing,No Fault,ISO9001,High
2308,T:24.86 V:8.78 H:64.6,2.644147510083818,5.4948211895493255,3.003295092266673,semi_auto,East,Fam_37,Final,No Fault,ISO9001,High
2309,T:26.91 V:10.81 H:40.3,3.804159823484004,9.634576834627987,4.860959970745201,manual,North,Fam_09,Processing,No Fault,ISO9001,High
2310,T:23.33 V:4.75 H:46.0,5.407226913250359,3.69902476931086,1.4448779427477356,auto,West,Fam_11,Assembly,No Fault,ISO9001,
2311,T:22.46 V:11.39 H:49.8,2.582511883553664,2.1429107752964383,,auto,South,Fam_11,Init,No Fault,ISO9001,Medium
2312,T:25.82 V:4.92 H:49.9,4.601354706333445,2.8467384175715984,1.261300813236145,auto,East,Fam_04,Final,No Fault,ISO9001,Medium
2313,T:19.42 V:5.95 H:59.1,,2.369990057573747,1.276226787354913,semi_auto,East,Fam_03,Processing,Low,ISO9001,Low
2314,T:24.46 V:3.20 H:38.0,2.5371549030566607,4.5762094347282725,1.5401639318236209,semi_auto,North,Fam_02,Assembly,No Fault,ISO9001,Low
2315,T:23.16 V:8.42 H:41.3,9.17225902201228,4.870689992444956,2.372066967945533,auto,North,Fam_04,Processing,Low,ISO9001,High
2316,T:20.35 V:12.22 H:54.0,2.051303778801242,4.670245325511664,3.086890492174657,auto,East,Fam_33,Processing,No Fault,ISO9001,Medium
2317,T:22.88 V:4.96 H:50.3,2.1605124251914445,3.971847857583125,1.752372843879527,auto,North,Fam_15,Processing,No Fault,ISO9001,Medium
2318,T:21.70 V:5.23 H:52.9,5.361385298307416,4.742677276319751,2.098563906364658,auto,West,Fam_04,Assembly,,ISO9001,High
2319,T:28.93 V:9.62 H:38.3,1.66291760787939,3.7888548373923214,,auto,East,Fam_01,Final,No Fault,ISO9001,Low
2320,T:20.48 V:11.56 H:61.4,3.936486054934338,3.432928443104021,2.702732657752028,auto,North,Fam_21,Processing,No Fault,ISO9001,
2321,T:30.84 V:5.32 H:41.1,2.4962417456999804,4.354700019129231,1.939505904934526,auto,West,Fam_01,Processing,Low,ISO9001,
2322,T:21.96 V:8.37 H:30.3,2.8278418135691923,,2.1732021195838285,auto,North,Fam_11,Processing,Low,ISO9001,Medium
2323,T:21.36 V:12.04 H:48.9,5.82506703578222,1.7976214602125005,1.7138766848360718,semi_auto,South,Fam_08,Processing,No Fault,ISO9001,Medium
2324,T:27.90 V:7.88 H:58.6,2.577430351402475,1.938913794357111,1.3489113560567243,semi_auto,North,Fam_14,Processing,No Fault,ISO9001,Low
2325,,4.744311425818714,4.39434893648752,2.3856498363477514,auto,South,Fam_01,Processing,No Fault,ISO9001,High
2326,T:24.11 V:3.48 H:51.3,3.295954426074883,3.702431851864761,1.2070273310751665,auto,West,Fam_32,Final,No Fault,ISO9001,Low
2327,T:23.16 V:5.26 H:28.7,5.418773627585853,4.179615438994999,1.9283059570114285,auto,East,Fam_23,Assembly,No Fault,ISO9001,High
2328,T:26.90 V:7.94 H:46.5,,5.314160500761799,2.439904073562382,auto,South,Fam_37,Processing,No Fault,ISO9001,Medium
2329,T:25.11 V:7.75 H:38.2,,2.513190680376772,1.363878342526819,manual,North,Fam_20,Processing,Low,ISO9001,Low
2330,T:21.56 V:6.82 H:55.0,6.798182822510088,2.5615965458323524,1.3016253284113874,semi_auto,West,Fam_21,Assembly,Low,ISO9001,Medium
2331,T:22.74 V:5.14 H:46.4,6.641376748249965,1.8905998317297052,0.8369556693608861,auto,East,Fam_35,Init,No Fault,ISO9001,Medium
2332,T:20.58 V:5.95 H:46.5,3.678011780080608,2.89691893384186,1.47790364241546,semi_auto,South,Fam_13,Init,No Fault,ISO9001,Medium
2333,T:27.87 V:8.30 H:56.2,3.752174860182569,11.149328752635068,4.768482188886185,manual,South,Fam_31,Final,Low,ISO9001,High
2334,T:23.01 V:10.22 H:43.2,4.694125867990897,2.3693176676352814,1.8067485899988287,auto,West,Fam_01,Processing,No Fault,ISO9001,High
2335,T:20.19 V:6.21 H:52.5,6.048336790425642,2.2258981063444727,1.2542674140346668,semi_auto,West,Fam_29,Init,No Fault,ISO9001,Low
2336,T:22.01 V:5.86 H:43.7,6.610392810920562,4.743665624049401,2.215164572962159,auto,East,Fam_03,Processing,No Fault,ISO9001,High
2337,T:32.41 V:10.05 H:57.6,5.554738126793929,1.8537737119099504,1.7939822113370858,semi_auto,West,Fam_30,Final,No Fault,ISO9001,Low
2338,T:27.68 V:4.22 H:33.6,2.6734415358611328,,1.1711971133211183,auto,South,Fam_09,Processing,No Fault,ISO9001,Low
2339,T:18.98 V:11.97 H:36.7,3.262234162142569,6.2846442411579,3.794202121146723,manual,North,Fam_26,Init,No Fault,ISO9001,High
2340,T:18.32 V:7.11 H:46.7,1.7446001502479551,4.392940199515898,2.247104486842743,manual,East,Fam_22,Processing,Low,ISO9001,Low
2341,T:21.15 V:7.17 H:44.3,4.3559051623094005,2.161927463033964,1.304856632050322,auto,West,Fam_05,Processing,No Fault,ISO9001,Low
2342,T:26.39 V:10.02 H:56.4,3.3047255628867083,3.1682385547477576,1.8629186173632988,auto,South,Fam_08,Processing,No Fault,ISO9001,Medium
2343,T:26.31 V:8.82 H:50.3,,2.3307439831835484,1.8329798077913184,auto,East,Fam_32,Final,No Fault,ISO9001,Low
2344,T:24.69 V:11.02 H:56.2,3.1004388928675493,3.230941174099917,2.178551724564752,semi_auto,East,Fam_32,Processing,Low,ISO9001,Medium
2345,T:29.75 V:7.99 H:38.1,1.6817480744747022,,2.964436587934039,semi_auto,North,Fam_22,Init,No Fault,ISO9001,Low
2346,T:18.68 V:4.81 H:71.4,2.7826966096851447,3.7839334342393567,1.5059108058803488,auto,East,Fam_03,Assembly,Low,ISO9001,Low
2347,T:20.63 V:12.11 H:61.4,5.777588406536944,4.602494223491558,3.1423982953466685,auto,West,Fam_04,Processing,,ISO9001,High
2348,T:26.32 V:7.99 H:52.0,1.8108698798677612,3.646313263926713,1.924084234435988,auto,West,Fam_01,Final,No Fault,ISO9001,Medium
2349,T:19.65 V:8.56 H:56.2,2.393266175726521,5.639157672839985,2.979858769142598,manual,East,Fam_03,Assembly,No Fault,ISO9001,High
2350,T:22.00 V:3.13 H:38.9,5.152905720427564,9.45528613106083,3.466652286360107,manual,North,Fam_06,Processing,No Fault,ISO9001,High
2351,T:19.15 V:7.87 H:50.5,1.4532392192094905,4.665632087579679,2.4323449563197146,auto,West,Fam_33,Processing,Low,ISO9001,Low
2352,T:23.05 V:7.91 H:60.1,9.137320315226464,2.4665533062023624,1.6623563972223154,semi_auto,North,Fam_31,Processing,No Fault,ISO9001,High
2353,T:15.23 V:6.06 H:24.6,2.945837905896236,3.5488892288131533,1.8568102338694104,auto,South,Fam_18,Processing,No Fault,ISO9001,Low
2354,T:22.02 V:9.42 H:44.8,1.3702410822141489,6.340715516249645,3.194086350084981,auto,South,Fam_03,Processing,No Fault,ISO9001,High
2355,T:22.26 V:10.55 H:71.0,4.80663607962921,4.853903950115901,3.1181524038418256,auto,North,Fam_01,Assembly,No Fault,ISO9001,High
2356,T:22.50 V:3.79 H:57.0,2.9456866800930066,3.959957775593967,1.2526357524025995,auto,North,Fam_32,Processing,No Fault,ISO9001,
2357,T:25.68 V:9.67 H:31.9,3.4029928853353426,5.261599668440189,2.576233728080602,auto,South,Fam_39,Init,No Fault,ISO9001,High
2358,T:24.80 V:14.45 H:32.4,2.451716820772707,3.967034457883418,3.256647547903611,semi_auto,East,Fam_26,Processing,No Fault,ISO9001,High
2359,T:20.28 V:4.36 H:46.1,1.5251066760461551,,,auto,North,Fam_03,Processing,No Fault,ISO9001,Low
2360,T:21.48 V:10.86 H:44.9,2.629244461718105,3.7243546680803794,2.381129315891573,semi_auto,East,Fam_22,Assembly,No Fault,ISO9001,High
2361,T:23.57 V:6.40 H:45.9,4.658373341873455,3.8396652380138665,1.761853568930343,semi_auto,West,Fam_01,Init,No Fault,ISO9001,High
2362,T:21.23 V:8.36 H:30.1,1.703334012484266,4.59408321081736,2.612951071059002,semi_auto,North,Fam_19,Init,No Fault,ISO9001,High
2363,T:21.23 V:6.02 H:60.5,1.4535677897046528,2.938686863380021,1.3792911004564454,auto,West,Fam_15,Assembly,Low,ISO9001,Low
2364,T:18.20 V:7.68 H:43.0,3.610710778424493,,1.41125239975539,semi_auto,East,Fam_02,Assembly,Low,ISO9001,Low
2365,T:22.88 V:9.65 H:59.2,5.876108548568017,3.64238264219077,2.2524767553293525,semi_auto,East,Fam_13,Assembly,No Fault,ISO9001,High
2366,T:22.34 V:9.10 H:48.8,2.1309843282424934,5.4320070926412605,2.985656871207444,auto,North,Fam_34,Processing,Low,ISO9001,High
2367,T:17.26 V:1.62 H:49.3,3.907591806272532,1.559885588132378,0.0,auto,North,Fam_07,Processing,No Fault,ISO9001,Low
2368,T:22.86 V:4.42 H:43.5,3.924766139238388,2.987124765034189,1.2193051869019065,semi_auto,South,Fam_15,Assembly,No Fault,ISO9001,Medium
2369,T:25.34 V:6.52 H:64.1,1.4419774420382845,6.888603471763528,3.038547336021122,auto,West,Fam_33,Processing,No Fault,ISO9001,High
2370,T:16.46 V:7.77 H:44.2,1.275164016100386,3.9888017454247455,2.146939432030529,semi_auto,South,Fam_37,Assembly,No Fault,ISO9001,Low
2371,T:14.79 V:4.70 H:37.6,2.0469276030416834,2.267133616435248,0.9665066425190384,auto,North,Fam_06,Assembly,No Fault,ISO9001,Low
2372,T:16.53 V:14.74 H:49.0,0.4081215658917028,3.1255632293425784,2.883185135338795,auto,West,Fam_05,Assembly,No Fault,ISO9001,Low
2373,,1.7035705445877651,3.858900958326383,1.3896012957369992,semi_auto,North,Fam_16,Processing,No Fault,ISO9001,Low
2374,T:19.40 V:7.54 H:60.0,8.54881623965327,3.80349436033424,,semi_auto,North,Fam_02,Assembly,Low,ISO9001,Medium
2375,T:27.26 V:8.17 H:62.1,3.5003702272931783,4.665850600534622,2.334595598516489,auto,East,Fam_22,Final,No Fault,ISO9001,Medium
2376,T:18.78 V:10.62 H:46.4,6.640143979075043,2.4404946339914733,1.9838043411375983,auto,North,Fam_26,Processing,No Fault,ISO9001,Low
2377,T:23.65 V:9.57 H:51.3,3.4578436304908244,2.5825448103020485,1.6872929077287315,semi_auto,North,Fam_31,Processing,No Fault,ISO9001,High
2378,T:22.84 V:5.78 H:38.4,2.8349980945513367,,,semi_auto,South,Fam_30,Processing,No Fault,ISO9001,High
2379,T:27.81 V:6.37 H:49.5,2.9111896086894946,9.102040813479046,3.9365773774701953,auto,South,Fam_06,Assembly,No Fault,ISO9001,High
2380,T:17.23 V:8.59 H:59.6,6.74572727427844,4.632358840164172,2.636537297289961,semi_auto,South,Fam_23,Processing,No Fault,ISO9001,Medium
2381,T:20.94 V:5.70 H:40.6,0.5883450933554759,11.07654431929104,,auto,West,Fam_18,Assembly,No Fault,ISO9001,High
2382,,2.448192618961925,1.525685508892031,,semi_auto,West,Fam_14,Processing,No Fault,ISO9001,Medium
2383,T:27.19 V:7.08 H:45.1,4.754675580507524,,1.4203896254009676,auto,West,Fam_23,Init,Low,ISO9001,Medium
2384,T:15.98 V:11.25 H:41.7,3.100187507511705,,2.654526287098772,manual,North,Fam_31,Assembly,No Fault,ISO9001,Low
2385,T:23.93 V:6.37 H:54.8,2.491342848347005,4.080878579100047,1.8857926581885744,semi_auto,East,Fam_01,Processing,No Fault,ISO9001,Medium
2386,T:29.08 V:3.51 H:65.4,,6.184582358034989,2.406422860283129,auto,East,Fam_19,Final,No Fault,ISO9001,Medium
2387,T:27.59 V:5.38 H:48.4,3.4018286234850166,4.585428827577067,2.126423757504865,auto,East,Fam_09,Assembly,No Fault,ISO9001,Medium
2388,T:28.10 V:9.35 H:53.7,2.001351195198701,3.0427387214469186,1.938885067098257,semi_auto,North,Fam_01,Final,,ISO9001,Medium
2389,T:25.76 V:12.05 H:55.0,1.5435535113523675,3.065793906908593,2.281022812864697,semi_auto,East,Fam_08,Processing,No Fault,ISO9001,Medium
2390,T:26.49 V:5.61 H:44.6,3.2558726034137555,,1.7116140988344528,semi_auto,East,Fam_08,Assembly,No Fault,ISO9001,Low
2391,T:26.05 V:9.82 H:56.7,8.800256148550172,,2.4251164387848845,auto,East,Fam_18,Init,No Fault,ISO9001,High
2392,T:22.77 V:5.05 H:57.1,4.5920395187986855,3.825668361260737,1.6452361290712192,semi_auto,East,Fam_11,Processing,No Fault,ISO9001,Medium
2393,T:27.83 V:10.54 H:42.3,7.371934068201069,4.072095210666049,2.447123127377447,auto,West,Fam_04,Assembly,No Fault,ISO9001,High
2394,T:28.07 V:12.33 H:48.3,7.187528080749049,8.513110375399343,,auto,South,Fam_02,Assembly,No Fault,ISO9001,High
2395,T:23.67 V:6.91 H:63.2,6.606879739954495,4.254011880427261,1.9734208729115887,auto,East,Fam_11,Processing,No Fault,ISO9001,High
2396,T:25.39 V:6.08 H:48.3,,,,semi_auto,East,Fam_17,Init,No Fault,ISO9001,Low
2397,,4.243020247576707,2.201910948732506,1.3618995559285587,auto,West,Fam_12,Final,No Fault,ISO9001,Low
2398,T:24.17 V:10.07 H:53.7,3.303969499080094,3.706582169919842,2.324534931843441,auto,West,Fam_06,Assembly,No Fault,ISO9001,High
2399,T:19.33 V:11.44 H:53.1,6.064614549306706,3.52087278857701,2.328059478702121,semi_auto,West,Fam_05,Assembly,No Fault,ISO9001,Medium
2400,,6.498420627420003,5.346727693326481,2.134514493237704,auto,South,Fam_36,Init,No Fault,ISO9001,High
2401,T:23.51 V:13.32 H:37.8,2.458233131974968,4.782157806119251,3.2394018623998218,semi_auto,North,Fam_05,Assembly,No Fault,ISO9001,High
2402,T:21.21 V:8.29 H:59.8,2.6382569685100354,3.793034883438017,2.1837093345662955,auto,West,Fam_22,Final,No Fault,ISO9001,High
2403,T:19.87 V:2.99 H:56.4,3.078359807537538,3.612757103631851,1.1921267901698336,manual,South,Fam_28,Assembly,No Fault,ISO9001,Low
2404,T:14.61 V:9.34 H:37.3,,2.7276350236268017,,semi_auto,North,Fam_05,Assembly,Low,ISO9001,Low
2405,T:21.85 V:8.91 H:42.8,3.288799060036484,3.1449096021445984,1.9216351562039005,semi_auto,East,Fam_02,Processing,Low,ISO9001,Medium
2406,T:26.29 V:10.39 H:40.0,,3.549985661564612,2.2323694701594228,auto,North,Fam_33,Init,No Fault,ISO9001,Medium
2407,T:25.31 V:11.90 H:56.6,8.171297379052751,9.541104485714834,4.933707476460369,manual,West,Fam_09,Assembly,No Fault,ISO9001,High
2408,T:19.98 V:5.44 H:52.0,5.497274573110818,5.473110853086268,2.186740276431571,manual,West,Fam_39,Assembly,No Fault,ISO9001,Medium
2409,T:23.11 V:11.24 H:55.6,,3.451690851148072,2.3849564175031865,semi_auto,East,Fam_06,Processing,Low,ISO9001,
2410,T:23.22 V:11.08 H:43.1,1.3347925495883255,4.596886291789929,2.688069700012816,semi_auto,South,Fam_13,Init,No Fault,ISO9001,High
2411,T:26.27 V:4.79 H:31.6,7.393260713163976,3.4111493271514592,1.4449546662280044,semi_auto,East,Fam_09,Assembly,Medium,ISO9001,Low
2412,T:25.91 V:4.69 H:57.6,1.5284066551650954,4.529348147448332,1.81937483803391,auto,South,Fam_24,Processing,No Fault,ISO9001,Medium
2413,T:16.52 V:7.30 H:37.2,6.0811389838300185,2.9988632498547143,1.4641724595555572,semi_auto,East,Fam_21,Assembly,No Fault,ISO9001,Low
2414,T:26.58 V:14.79 H:43.8,6.294938458219236,3.67525160922928,,auto,North,Fam_23,Processing,,ISO9001,High
2415,T:29.23 V:5.41 H:61.6,4.847811135338145,4.395179667874068,1.7626750094915458,auto,North,Fam_23,Assembly,No Fault,ISO9001,Medium
2416,T:24.43 V:9.69 H:49.4,4.435284361003436,5.935031662442781,3.043631050689642,manual,South,Fam_25,Processing,No Fault,ISO9001,High
2417,T:21.88 V:4.86 H:53.4,2.231400585565418,,2.785680988081038,semi_auto,North,Fam_06,Processing,No Fault,ISO9001,High
2418,T:21.78 V:11.62 H:54.9,1.8056330652678876,3.7269218971603104,2.560439060844668,semi_auto,North,Fam_01,Processing,No Fault,ISO9001,
2419,T:29.47 V:11.31 H:43.6,6.021195470611933,4.652396093454164,2.6967209239653545,auto,East,Fam_13,Processing,No Fault,ISO9001,Medium
2420,T:16.64 V:6.22 H:51.0,6.6425147470030055,3.813904031080918,,auto,North,Fam_32,Processing,Low,ISO9001,Low
2421,T:25.69 V:11.89 H:57.1,1.517752450109393,1.2433630832927391,1.3703057588775305,semi_auto,East,Fam_26,Assembly,,ISO9001,Low
2422,T:27.77 V:6.99 H:50.3,7.228794440237749,2.4828362325745967,1.5495994125714292,auto,North,Fam_04,Assembly,No Fault,ISO9001,Low
2423,T:22.55 V:5.04 H:36.8,4.605249276398897,1.650714974305873,0.764194899927984,semi_auto,North,Fam_31,Assembly,No Fault,ISO9001,Low
2424,T:24.05 V:5.87 H:50.9,4.203448793091163,4.723117412783927,2.00922296571235,manual,South,Fam_02,Init,No Fault,ISO9001,High
